#,Company,Symbol,Weight,Price,Chg,% Chg
254,Constellation Energy,CEG,0.080314,90.44,-1.11,(-1.22%)
255,Dollar Tree Inc,DLTR,0.080178,146.71,3.21,(2.23%)
256,Discover Financial Services,DFS,0.079841,118.28,1.43,(1.22%)
257,Illumina Inc,ILMN,0.079144,188.3,0.81,(0.43%)
258,Mettler Toledo International,MTD,0.078342,1310.62,-1.02,(-0.08%)
259,Allstate Corp,ALL,0.077575,110.48,1.44,(1.32%)
260,Ansys Inc,ANSS,0.077328,326.86,-3.41,(-1.03%)
261,Equifax Inc,EFX,0.077309,229.03,-6.27,(-2.66%)
262,Martin Marietta Materials,MLM,0.077043,456.33,-5.36,(-1.16%)
263,West Pharmaceutical Services,WST,0.076089,378.12,-4.36,(-1.14%)
264,Kraft Heinz Co,KHC,0.075622,35.89,0.39,(1.10%)
265,Quanta Services Inc,PWR,0.075492,195.72,-0.73,(-0.37%)
266,Wec Energy Group Inc,WEC,0.07469,89.17,0.93,(1.05%)
267,P G & E Corp,PCG,0.074666,17.21,-0.08,(-0.43%)
268,Warner Bros Discovery Inc,WBD,0.074485,12.95,0.41,(3.27%)
269,Arch Capital Group Ltd,ACGL,0.074306,74.04,-0.82,(-1.09%)
270,Aptiv Plc,APTV,0.074224,103.09,1.0,(0.98%)
271,Gartner Inc,IT,0.074106,347.17,-3.14,(-0.90%)
272,American Water Works Co Inc,AWK,0.074052,143.66,0.91,(0.64%)
273,Oneok Inc,OKE,0.074031,61.46,-0.26,(-0.43%)
274,Xylem Inc,XYL,0.072098,111.84,-0.78,(-0.69%)
275,Corning Inc,GLW,0.071696,35.08,0.04,(0.10%)
276,Hp Inc,HPQ,0.071343,30.66,-0.06,(-0.18%)
277,Ingersoll Rand Inc,IR,0.071128,65.26,-0.11,(-0.16%)
278,Avalonbay Communities Inc,AVB,0.071095,190.93,1.66,(0.88%)
279,Keurig Dr Pepper Inc,KDP,0.071028,31.5,0.23,(0.74%)
280,Fortive Corp,FTV,0.070963,73.9,-0.88,(-1.17%)
281,Edison International,EIX,0.070416,68.95,-0.5,(-0.72%)
282,Albemarle Corp,ALB,0.070132,229.93,6.84,(3.07%)
283,Global Payments Inc,GPN,0.069652,103.53,5.01,(5.09%)
284,Align Technology Inc,ALGN,0.06877,333.27,-20.4,(-5.76%)
285,Cbre Group Inc A,CBRE,0.068392,85.05,4.34,(5.38%)
286,Willis Towers Watson Plc,WTW,0.067553,233.54,-1.97,(-0.83%)
287,T Rowe Price Group Inc,TROW,0.067551,111.42,-0.61,(-0.54%)
288,Sba Communications Corp,SBAC,0.067262,233.79,2.03,(0.88%)
289,Cdw Corp/de,CDW,0.066762,183.16,-0.35,(-0.19%)
290,Weyerhaeuser Co,WY,0.06652,33.6,0.09,(0.27%)
291,Eversource Energy,ES,0.066389,70.99,0.07,(0.10%)
292,State Street Corp,STT,0.065817,70.69,-2.5,(-3.41%)
293,Church & Dwight Co Inc,CHD,0.065699,100.23,-0.01,(-0.00%)
294,Tractor Supply Company,TSCO,0.0656,218.24,-2.86,(-1.29%)
295,Cardinal Health Inc,CAH,0.065451,94.72,0.15,(0.16%)
296,Ebay Inc,EBAY,0.06505,44.95,0.26,(0.58%)
297,Monolithic Power Systems Inc,MPWR,0.065011,522.49,-17.7,(-3.28%)
298,Diamondback Energy Inc,FANG,0.064851,131.82,0.46,(0.35%)
299,Ulta Beauty Inc,ULTA,0.064608,477.03,6.43,(1.37%)
300,Genuine Parts Co,GPC,0.0642,168.04,-1.19,(-0.71%)
301,Take Two Interactive Softwre,TTWO,0.062714,147.67,0.51,(0.34%)
302,Lyondellbasell Indu Cl A,LYB,0.062485,92.75,0.92,(1.00%)
303,Baxter International Inc,BAX,0.061804,44.9,-0.66,(-1.46%)
304,Hartford Financial Svcs Grp,HIG,0.061423,72.32,0.3,(0.42%)
305,Enphase Energy Inc,ENPH,0.061201,169.43,1.95,(1.16%)
306,Dte Energy Company,DTE,0.061018,111.29,1.27,(1.15%)
307,Royal Caribbean Cruises Ltd,RCL,0.060767,103.07,-0.67,(-0.65%)
308,Equity Residential,EQR,0.060388,66.51,0.54,(0.81%)
309,Steris Plc,STE,0.059892,213.37,-11.6,(-5.16%)
310,Mccormick & Co Non Vtg Shrs,MKC,0.058668,89.81,2.58,(2.95%)
311,Hewlett Packard Enterprise,HPE,0.058146,16.64,-0.17,(-0.98%)
312,Southwest Airlines Co,LUV,0.057703,36.93,0.72,(1.99%)
313,Laboratory Crp of Amer Hldgs,LH,0.057392,206.38,-35.0,(-14.48%)
314,Ameren Corporation,AEE,0.056685,82.91,1.24,(1.51%)
315,Firstenergy Corp,FE,0.056456,38.97,0.09,(0.23%)
316,M & T Bank Corp,MTB,0.056283,127.2,3.44,(2.78%)
317,Verisign Inc,VRSN,0.0556,223.08,-2.89,(-1.28%)
318,Dover Corp,DOV,0.055577,147.24,-0.41,(-0.28%)
319,Entergy Corp,ETR,0.055399,98.22,0.85,(0.87%)
320,Walgreens Boots Alliance Inc,WBA,0.054871,29.01,0.52,(1.83%)
321,Darden Restaurants Inc,DRI,0.054743,167.56,0.48,(0.29%)
322,Fair Isaac Corp,FICO,0.054708,794.94,-14.3,(-1.76%)
323,Intl Flavors & Fragrances,IFF,0.054452,81.08,1.49,(1.87%)
324,Hologic Inc,HOLX,0.054225,79.87,-1.1,(-1.35%)
325,Insulet Corp,PODD,0.053939,283.34,-5.0,(-1.74%)
326,Raymond James Financial Inc,RJF,0.05375,103.32,-0.45,(-0.44%)
327,Extra Space Storage Inc,EXR,0.053601,150.46,1.61,(1.08%)
328,Invitation Homes Inc,INVH,0.053338,34.9,0.5,(1.44%)
329,Wabtec Corp,WAB,0.05333,109.42,-0.25,(-0.23%)
330,Clorox Company,CLX,0.052811,161.06,2.02,(1.27%)
331,Broadridge Financial Solutio,BR,0.052293,164.0,-1.63,(-0.99%)
332,Ppl Corp,PPL,0.052046,26.55,0.09,(0.34%)
333,Omnicom Group,OMC,0.052043,96.37,1.22,(1.29%)
334,Teledyne Technologies Inc,TDY,0.05179,411.17,0.06,(0.02%)
335,Nvr Inc,NVR,0.051587,6224.0,-127.0,(-1.99%)
336,Coterra Energy Inc,CTRA,0.051566,25.16,-0.14,(-0.55%)
337,Las Vegas Sands Corp,LVS,0.050962,58.6,0.6,(1.03%)
338,Cooper Cos Inc,COO,0.050827,377.0,-6.43,(-1.68%)
339,Ventas Inc,VTR,0.050819,48.28,1.01,(2.13%)
340,Carnival Corp,CCL,0.05072,18.94,0.11,(0.58%)
341,First Solar Inc,FSLR,0.050571,191.01,0.92,(0.48%)
342,Expeditors Intl Wash Inc,EXPD,0.049799,121.77,0.64,(0.53%)
343,Fleetcor Technologies Inc,FLT,0.049696,253.53,2.45,(0.98%)
344,Centerpoint Energy Inc,CNP,0.049323,29.19,0.04,(0.12%)
345,Howmet Aerospace Inc,HWM,0.048944,49.49,-0.08,(-0.15%)
346,Ball Corp,BALL,0.04893,58.55,0.34,(0.58%)
347,Steel Dynamics Inc,STLD,0.048483,111.13,2.2,(2.02%)
348,Fifth Third Bancorp,FITB,0.048266,26.64,0.43,(1.64%)
349,United Airlines Holdings Inc,UAL,0.048137,54.96,0.09,(0.16%)
350,Alexandria Real Estate Equit,ARE,0.048046,116.32,2.83,(2.49%)
351,Skyworks Solutions Inc,SWKS,0.04744,111.52,0.83,(0.75%)
352,Mid America Apartment Comm,MAA,0.047156,154.74,2.88,(1.90%)
353,Pultegroup Inc,PHM,0.047074,78.05,0.37,(0.48%)
354,Molina Healthcare Inc,MOH,0.046865,303.53,2.29,(0.76%)
355,Teradyne Inc,TER,0.046672,110.11,-1.22,(-1.10%)
356,Tyler Technologies Inc,TYL,0.046544,417.98,1.51,(0.36%)
357,Principal Financial Group,PFG,0.046303,76.41,0.57,(0.75%)
358,Kellogg Co,K,0.046298,66.25,-1.15,(-1.70%)
359,Cms Energy Corp,CMS,0.045989,59.95,1.2,(2.03%)
360,Targa Resources Corp,TRGP,0.045976,77.06,0.96,(1.26%)
361,Nasdaq Inc,NDAQ,0.045194,49.91,0.06,(0.12%)
362,Regions Financial Corp,RF,0.04486,18.25,0.43,(2.38%)
363,Atmos Energy Corp,ATO,0.044771,117.38,1.04,(0.89%)
364,Netapp Inc,NTAP,0.044535,76.42,0.02,(0.03%)
365,Iron Mountain Inc,IRM,0.0444,57.47,0.65,(1.14%)
366,Lamb Weston Holdings Inc,LW,0.044172,110.5,-4.45,(-3.87%)
367,Brown & Brown Inc,BRO,0.043489,67.47,-1.37,(-2.00%)
368,Best Buy Co Inc,BBY,0.043349,82.2,0.25,(0.31%)
369,Idex Corp,IEX,0.043342,212.89,-2.37,(-1.10%)
370,Garmin Ltd,GRMN,0.043016,103.71,-0.58,(-0.56%)
371,Conagra Brands Inc,CAG,0.042907,34.01,0.29,(0.86%)
372,Waters Corp,WAT,0.04264,265.15,-1.4,(-0.52%)
373,Jm Smucker Co,SJM,0.042388,150.67,3.0,(2.03%)
374,Expedia Group Inc,EXPE,0.041974,112.9,3.51,(3.20%)
375,Quest Diagnostics Inc,DGX,0.041939,139.19,-1.37,(-0.98%)
376,Paycom Software Inc,PAYC,0.041903,320.03,-1.21,(-0.38%)
377,Northern Trust Corp,NTRS,0.041528,74.9,0.76,(1.02%)
378,Cincinnati Financial Corp,CINF,0.04141,98.34,1.02,(1.04%)
379,Huntington Bancshares Inc,HBAN,0.041382,10.9,0.12,(1.11%)
380,Factset Research Systems Inc,FDS,0.041209,400.75,0.1,(0.03%)
381,Snap on Inc,SNA,0.041204,286.93,-1.26,(-0.44%)
382,Jacobs Solutions Inc,J,0.040988,119.37,0.48,(0.40%)
383,Zebra Technologies Corp Cl A,ZBRA,0.040968,297.77,1.94,(0.66%)
384,Ptc Inc,PTC,0.04071,140.43,-1.87,(-1.31%)
385,Solaredge Technologies Inc,SEDG,0.040435,270.21,1.16,(0.43%)
386,Revvity Inc,RVTY,0.040321,117.49,-1.31,(-1.10%)
387,Hunt (Jb) Transprt Svcs Inc,JBHT,0.040308,182.48,1.45,(0.80%)
388,Essex Property Trust Inc,ESS,0.040301,236.65,2.35,(1.00%)
389,Interpublic Group of Cos Inc,IPG,0.040221,38.97,0.39,(1.01%)
390,Eqt Corp,EQT,0.040145,41.07,-0.06,(-0.15%)
391,Amcor Plc,AMCR,0.04012,10.12,0.14,(1.35%)
392,Synchrony Financial,SYF,0.039823,34.33,0.41,(1.21%)
393,Lkq Corp,LKQ,0.039682,58.28,0.01,(0.01%)
394,Everest Re Group Ltd,RE,0.039461,340.44,-1.42,(-0.42%)
395,Pool Corp,POOL,0.039228,371.34,-3.31,(-0.88%)
396,Marathon Oil Corp,MRO,0.039199,22.97,-0.05,(-0.22%)
397,Tyson Foods Inc Cl A,TSN,0.039171,51.69,0.65,(1.27%)
398,Cboe Global Markets Inc,CBOE,0.038991,137.47,-0.55,(-0.39%)
399,Stanley Black & Decker Inc,SWK,0.038613,93.26,-0.45,(-0.48%)
400,Textron Inc,TXT,0.038206,66.77,-0.86,(-1.27%)
401,Akamai Technologies Inc,AKAM,0.038119,91.29,1.42,(1.57%)
402,Bunge Ltd,BG,0.038077,96.56,2.21,(2.34%)
403,Avery Dennison Corp,AVY,0.037702,173.52,1.72,(1.00%)
404,Aes Corp,AES,0.037217,20.93,0.2,(0.94%)
405,Axon Enterprise Inc,AXON,0.036855,194.33,-0.8,(-0.41%)
406,Cf Industries Holdings Inc,CF,0.03654,70.02,0.6,(0.86%)
407,Carmax Inc,KMX,0.036094,82.37,-1.34,(-1.59%)
408,Evergy Inc,EVRG,0.036042,58.83,0.41,(0.70%)
409,Nordson Corp,NDSN,0.035802,246.95,-1.23,(-0.50%)
410,Mgm Resorts International,MGM,0.035685,44.05,0.13,(0.28%)
411,Alliant Energy Corp,LNT,0.035413,53.04,0.56,(1.06%)
412,Udr Inc,UDR,0.035299,43.67,0.71,(1.66%)
413,Trimble Inc,TRMB,0.035271,52.16,-0.78,(-1.47%)
414,Fmc Corp,FMC,0.035151,106.12,1.78,(1.70%)
415,Live Nation Entertainment In,LYV,0.034628,91.81,0.7,(0.77%)
416,Masco Corp,MAS,0.034608,56.96,-0.42,(-0.73%)
417,Bio Techne Corp,TECH,0.03451,81.14,-0.49,(-0.60%)
418,Epam Systems Inc,EPAM,0.034504,229.39,4.64,(2.06%)
419,Citizens Financial Group,CFG,0.034297,26.3,0.22,(0.84%)
420,Packaging Corp of America,PKG,0.03324,132.69,0.53,(0.40%)
421,Molson Coors Beverage Co B,TAP,0.033072,66.23,0.39,(0.58%)
422,Jack Henry & Associates Inc,JKHY,0.032705,168.18,0.85,(0.51%)
423,Western Digital Corp,WDC,0.032554,38.54,0.61,(1.60%)
424,Viatris Inc,VTRS,0.032518,9.97,-0.01,(-0.11%)
425,Wr Berkley Corp,WRB,0.032483,59.7,0.14,(0.23%)
426,Kimco Realty Corp,KIM,0.032348,19.74,0.02,(0.08%)
427,Host Hotels & Resorts Inc,HST,0.032338,17.24,0.41,(2.41%)
428,Brown Forman Corp Class B,BF.B,0.032326,64.0,-2.78,(-4.16%)
429,Domino S Pizza Inc,DPZ,0.032307,334.32,-2.68,(-0.79%)
430,Leidos Holdings Inc,LDOS,0.032284,87.65,-0.83,(-0.94%)
431,Seagate Technology Holdings,STX,0.032272,62.14,0.27,(0.44%)
432,Camden Property Trust,CPT,0.032209,110.15,1.28,(1.17%)
433,Mosaic Co,MOS,0.031954,35.82,0.82,(2.34%)
434,Match Group Inc,MTCH,0.03144,42.14,0.29,(0.69%)
435,American Airlines Group Inc,AAL,0.031375,18.11,0.17,(0.94%)
436,Borgwarner Inc,BWA,0.031175,50.3,1.39,(2.84%)
437,Hormel Foods Corp,HRL,0.031134,41.22,1.0,(2.50%)
438,Incyte Corp,INCY,0.031013,62.84,0.59,(0.95%)
439,Loews Corp,L,0.030952,59.66,0.28,(0.47%)
440,Celanese Corp,CE,0.030878,116.95,1.15,(0.99%)
441,International Paper Co,IP,0.030733,31.98,0.17,(0.53%)
442,Teleflex Inc,TFX,0.030514,237.44,-4.59,(-1.90%)
443,Apa Corp,APA,0.029799,34.04,-0.14,(-0.40%)
444,C.H. Robinson Worldwide Inc,CHRW,0.029785,95.54,1.19,(1.26%)
445,Wynn Resorts Ltd,WYNN,0.029634,106.69,1.08,(1.02%)
446,Nisource Inc,NI,0.029599,27.07,-0.29,(-1.04%)
447,Healthpeak Properties Inc,PEAK,0.029539,20.67,0.57,(2.81%)
448,Henry Schein Inc,HSIC,0.029475,79.62,-1.48,(-1.83%)
449,Caesars Entertainment Inc,CZR,0.028981,50.75,-0.22,(-0.43%)
450,Charles River Laboratories,CRL,0.028761,208.72,-1.53,(-0.73%)
451,Gen Digital Inc,GEN,0.028563,18.34,-0.22,(-1.16%)
452,Allegion Plc,ALLE,0.028504,118.78,-1.24,(-1.03%)
453,Etsy Inc,ETSY,0.028459,85.13,0.52,(0.61%)
454,Pentair Plc,PNR,0.02837,63.98,-0.62,(-0.95%)
455,Tapestry Inc,TPR,0.027634,43.53,0.73,(1.70%)
456,Ceridian Hcm Holding Inc,CDAY,0.027429,65.76,-1.21,(-1.81%)
457,Qorvo Inc,QRVO,0.027387,101.25,-0.78,(-0.76%)
458,Universal Health Services B,UHS,0.027149,154.61,-3.16,(-2.00%)
459,Juniper Networks Inc,JNPR,0.026982,31.37,0.04,(0.11%)
460,Eastman Chemical Co,EMN,0.026943,85.7,1.98,(2.37%)
461,Rollins Inc,ROL,0.026602,42.53,-0.3,(-0.71%)
462,Globe Life Inc,GL,0.026466,110.28,0.66,(0.61%)
463,Marketaxess Holdings Inc,MKTX,0.026291,264.45,3.03,(1.16%)
464,Regency Centers Corp,REG,0.025571,62.4,0.63,(1.01%)
465,Smith (a.O.) Corp,AOS,0.024956,72.34,-0.44,(-0.60%)
466,Generac Holdings Inc,GNRC,0.024936,150.31,1.18,(0.79%)
467,Campbell Soup Co,CPB,0.02474,46.53,0.82,(1.79%)
468,Fox Corp Class A,FOXA,0.024614,34.31,0.31,(0.90%)
469,Pinnacle West Capital,PNW,0.0245,81.65,0.19,(0.24%)
470,Huntington Ingalls Industrie,HII,0.024213,228.67,1.07,(0.47%)
471,Norwegian Cruise Line Holdin,NCLH,0.024154,21.9,0.13,(0.57%)
472,Nrg Energy Inc,NRG,0.02351,35.78,-1.61,(-4.32%)
473,F5 Inc,FFIV,0.023275,144.07,-2.19,(-1.50%)
474,Keycorp,KEY,0.02318,9.64,0.4,(4.32%)
475,Dentsply Sirona Inc,XRAY,0.023156,39.61,-0.41,(-1.02%)
476,Bath & Body Works Inc,BBWI,0.022874,37.85,0.35,(0.92%)
477,Robert Half Intl Inc,RHI,0.022127,75.56,0.34,(0.45%)
478,Hasbro Inc,HAS,0.022099,64.39,-0.38,(-0.59%)
479,Whirlpool Corp,WHR,0.021679,148.92,0.13,(0.08%)
480,Boston Properties Inc,BXP,0.021677,58.54,0.95,(1.65%)
481,Bio Rad Laboratories A,BIO,0.021611,376.94,-2.18,(-0.57%)
482,Paramount Global Class B,PARA,0.021484,16.31,0.4,(2.51%)
483,Catalent Inc,CTLT,0.020984,44.0,0.64,(1.46%)
484,Franklin Resources Inc,BEN,0.020474,27.3,0.59,(2.19%)
485,Invesco Ltd,IVZ,0.02045,16.71,-0.1,(-0.59%)
486,News Corp Class A,NWSA,0.020329,19.55,0.05,(0.28%)
487,Westrock Co,WRK,0.019759,29.3,0.23,(0.79%)
488,Federal Realty Invs Trust,FRT,0.018996,97.4,0.63,(0.66%)
489,Assurant Inc,AIZ,0.017911,125.87,0.15,(0.12%)
490,Alaska Air Group Inc,ALK,0.017645,53.15,-0.03,(-0.06%)
491,Vf Corp,VFC,0.01695,19.15,0.06,(0.31%)
492,Dxc Technology Co,DXC,0.016416,26.89,0.17,(0.65%)
493,Sealed Air Corp,SEE,0.015872,40.46,0.46,(1.15%)
494,Davita Inc,DVA,0.014963,98.06,-2.41,(-2.40%)
495,Comerica Inc,CMA,0.014915,43.9,1.54,(3.64%)
496,Mohawk Industries Inc,MHK,0.014185,103.21,0.05,(0.04%)
497,Organon & Co,OGN,0.014055,20.82,0.01,(0.02%)
498,Ralph Lauren Corp,RL,0.013593,123.72,0.42,(0.34%)
499,Fox Corp Class B,FOX,0.011914,32.11,0.22,(0.69%)
500,Advance Auto Parts Inc,AAP,0.011372,71.0,0.7,(1.00%)
501,Zions Bancorp Na,ZION,0.010822,28.05,1.19,(4.45%)
502,Lincoln National Corp,LNC,0.010672,26.2,0.44,(1.71%)
503,Newell Brands Inc,NWL,0.008777,9.05,0.35,(3.97%)
504,News Corp Class B,NWS,0.006446,19.73,0.01,(0.05%)
